value,timestamp
,2021-07-01
-1.033593192620572,2021-07-02
-0.9298978981129536,2021-07-03
-0.9887819271930458,2021-07-04
-0.8345502701044416,2021-07-05
-0.8393741699033622,2021-07-06
-1.05556869282289,2021-07-07
-1.067334548219453,2021-07-08
-0.7522359920976138,2021-07-09
-0.8625464564950374,2021-07-10
-0.7998096877006462,2021-07-11
-0.695153460634603,2021-07-12
-0.6898819938557308,2021-07-13
-0.9960793460837374,2021-07-14
-0.7252570780615435,2021-07-15
-1.0593867951996758,2021-07-16
-0.8632537099136608,2021-07-17
-0.8511838022035404,2021-07-18
-0.769002623616358,2021-07-19
-0.8702308634477538,2021-07-20
-0.7210761118626944,2021-07-21
-0.7545883816953894,2021-07-22
-0.9349860279870011,2021-07-23
-0.8522716843149186,2021-07-24
-0.7445506774711347,2021-07-25
-0.791992586907881,2021-07-26
-0.7038328734353151,2021-07-27
-0.9185583191022956,2021-07-28
-0.789775563034668,2021-07-29
-0.8037569629002824,2021-07-30
-0.7409908452511307,2021-07-31
-0.7887313907132016,2021-08-01
-0.6118932072916812,2021-08-02
-0.7724404807522598,2021-08-03
-0.6554825076109863,2021-08-04
-0.6809952885259871,2021-08-05
-0.7392842863947854,2021-08-06
-0.8279939094520612,2021-08-07
-0.6226367940846531,2021-08-08
-0.6061912866553913,2021-08-09
-0.6360450863767891,2021-08-10
-0.600360974616735,2021-08-11
,2021-08-12
-0.7142421798264261,2021-08-13
-0.6754715627583429,2021-08-14
-0.5429729612126879,2021-08-15
,2021-08-16
-0.3541979069588006,2021-08-17
-0.5833239816883192,2021-08-18
-0.6783381188364259,2021-08-19
-0.5860138218390589,2021-08-20
-0.497760780729617,2021-08-21
-0.5943074136042351,2021-08-22
-0.6033737013299759,2021-08-23
-0.573416224251833,2021-08-24
-0.5450510129716413,2021-08-25
-0.5389034609715765,2021-08-26
-0.4603831018065883,2021-08-27
-0.5636789397541891,2021-08-28
-0.5805648736997631,2021-08-29
-0.4770656122457491,2021-08-30
0.6929749011633233,2021-08-31
-0.4495402714449236,2021-09-01
,2021-09-02
-0.4164126155808902,2021-09-03
-0.5044049044900905,2021-09-04
-0.4600177858046875,2021-09-05
-0.4074100834243184,2021-09-06
-0.3922107909587154,2021-09-07
-0.3703670903423652,2021-09-08
-0.3917745693420981,2021-09-09
-0.3617795013207552,2021-09-10
-0.3589797414371195,2021-09-11
-0.3659165683631599,2021-09-12
0.7934323567925494,2021-09-13
-0.2912127523348047,2021-09-14
-0.3618318565718332,2021-09-15
-0.2947040445991063,2021-09-16
-0.3520458485311976,2021-09-17
-0.2528767597086787,2021-09-18
-0.4197753803861364,2021-09-19
-0.3160051200908569,2021-09-20
-0.3872731452391588,2021-09-21
-0.3494078357587443,2021-09-22
-0.2533823450806239,2021-09-23
-0.3203303593820603,2021-09-24
-0.3234347421220061,2021-09-25
-0.2760833785340627,2021-09-26
-0.3056996864503371,2021-09-27
,2021-09-28
-0.2530179923664299,2021-09-29
-0.2535486184688694,2021-09-30
-0.4277154914528033,2021-10-01
-0.4972161271851585,2021-10-02
-0.4760095513614473,2021-10-03
-0.4175058994251958,2021-10-04
,2021-10-05
-0.4838667370109367,2021-10-06
-0.2631551023419343,2021-10-07
-0.4547606504463223,2021-10-08
-0.4504646865219088,2021-10-09
-0.397178062153868,2021-10-10
-0.4209198120412654,2021-10-11
-0.3409329716387554,2021-10-12
-0.3361562997767893,2021-10-13
-0.3827430913335591,2021-10-14
-0.3527161317140013,2021-10-15
-0.3605941022313725,2021-10-16
-0.3750642059011523,2021-10-17
-0.3323195219223486,2021-10-18
-0.3111272941544462,2021-10-19
-0.3512707832111445,2021-10-20
-0.3549101512750247,2021-10-21
-0.3350992650515256,2021-10-22
-0.3112663757011382,2021-10-23
-0.2496427119855004,2021-10-24
,2021-10-25
-0.3042559473999937,2021-10-26
,2021-10-27
-0.2518949032456778,2021-10-28
-0.2317524735043249,2021-10-29
-0.2540533967428832,2021-10-30
-0.2424995672127573,2021-10-31
-0.1808673612373703,2021-11-01
-0.2112656940152033,2021-11-02
-0.2408572599179481,2021-11-03
-0.2342627259288665,2021-11-04
-0.160529903784866,2021-11-05
-0.1689249836039649,2021-11-06
-0.1718357103206878,2021-11-07
-0.1977427477554665,2021-11-08
-0.1454944888016749,2021-11-09
0.5128162074205276,2021-11-10
-0.15088466768817,2021-11-11
-0.1397489359620473,2021-11-12
-0.1390938924474811,2021-11-13
-0.1119445896032166,2021-11-14
-0.1020379604098306,2021-11-15
-0.1027294170139173,2021-11-16
-0.0948163706645925,2021-11-17
-0.0753121764306005,2021-11-18
-0.0711546503680915,2021-11-19
-0.0646771270940912,2021-11-20
,2021-11-21
-0.0495723354600154,2021-11-22
0.5178034320602996,2021-11-23
-0.0332230366161803,2021-11-24
-0.0253528151292245,2021-11-25
,2021-11-26
-0.0083136299906553,2021-11-27
0.0,2021-11-28
0.0093398006578511,2021-11-29
0.0190272850882143,2021-11-30
0.0230464622832421,2021-12-01
0.0333530420492808,2021-12-02
0.0386152387927142,2021-12-03
0.0553205462432924,2021-12-04
0.0520352992383419,2021-12-05
0.0589946251787976,2021-12-06
0.0758406470185593,2021-12-07
0.0875062018619492,2021-12-08
0.0855030661605339,2021-12-09
0.0933149572369327,2021-12-10
0.1189204341516373,2021-12-11
0.1128607175716231,2021-12-12
0.1382581388100376,2021-12-13
0.1370045576107731,2021-12-14
0.1472297269395338,2021-12-15
